,h_id,t_id,entity_sim_score,norm_entity_sim_score
474,474,474,1752.3964,0.33004355
475,475,475,830.1068,0.19912954
476,476,476,397.051,0.1376596
477,477,477,4035.602,0.65413237
478,478,478,2094.8113,0.37864754
479,479,479,97.488846,0.095138356
480,480,480,4334.5723,0.6965695
481,481,481,240.68321,0.11546403
482,482,482,708.4144,0.18185596
483,483,483,457.71082,0.14626993
484,484,484,1752.4152,0.33004627
485,485,485,-76.65775,0.070419185
486,486,486,909.4695,0.21039465
487,487,487,169.70122,0.10538852
488,488,488,2843.7031,0.4849487
489,489,489,450.9684,0.14531288
490,490,490,750.9399,0.18789223
491,491,491,1242.1301,0.25761405
492,492,492,1188.4636,0.24999636
493,493,493,3518.9312,0.5807937
494,494,494,662.59125,0.17535162
495,495,495,457.25806,0.14620566
496,496,496,694.9197,0.17994045
497,497,497,1385.4711,0.2779605
498,498,498,349.3513,0.13088888
499,499,499,639.5797,0.17208524
500,500,500,588.73,0.1648674
501,501,501,864.5407,0.20401725
502,502,502,473.00726,0.14844118
503,503,503,766.63983,0.19012076
504,504,504,842.5703,0.20089866
505,505,505,666.91876,0.17596586
506,506,506,518.5263,0.15490237
507,507,507,391.32632,0.136847
508,508,508,897.53516,0.20870063
509,509,509,713.76825,0.18261592
510,510,510,-30.395079,0.076985925
511,511,511,1029.6299,0.22745077
512,512,512,635.21747,0.17146605
513,513,513,504.01727,0.1528429
514,514,514,117.74304,0.098013334
515,515,515,1280.4001,0.26304626
516,516,516,1153.0637,0.24497153
517,517,517,1182.9196,0.2492094
518,518,518,1088.4238,0.23579626
519,519,519,34.64982,0.0862187
520,520,520,517.70605,0.15478593
521,521,521,541.4172,0.15815161
522,522,522,1539.8698,0.2998766
523,523,523,420.82324,0.14103393
524,524,524,755.6289,0.1885578
525,525,525,2992.3494,0.50604826
526,526,526,-99.45529,0.0671832
527,527,527,1174.5524,0.24802174
528,528,528,626.2633,0.17019504
529,529,529,664.02075,0.17555451
530,530,530,-141.44493,0.061222993
531,531,531,1832.6459,0.34143454
532,532,532,483.634,0.1499496
533,533,533,374.674,0.13448331
534,534,534,1510.4894,0.2957062
535,535,535,981.6241,0.22063659
536,536,536,886.2617,0.20710042
537,537,537,83.89833,0.09320926
538,538,538,2704.0498,0.46512568
539,539,539,323.90616,0.12727708
540,540,540,798.9698,0.1947098
541,541,541,3382.2407,0.56139123
542,542,542,1927.3009,0.35487035
543,543,543,976.55774,0.21991746
544,544,544,1067.5168,0.23282862
545,545,545,1252.1301,0.25903347
546,546,546,324.3172,0.12733543
547,547,547,450.59192,0.14525944
548,548,548,811.64954,0.19650963
549,549,549,3558.3975,0.5863957
550,550,550,-30.729113,0.07693851
551,551,551,668.97266,0.17625742
552,552,552,690.6654,0.17933658
553,553,553,1239.0071,0.25717074
554,554,554,1310.8162,0.26736364
555,555,555,1266.4595,0.26106745
556,556,556,568.57227,0.16200611
557,557,557,534.43915,0.15716112
558,558,558,751.99396,0.18804184
559,559,559,552.9855,0.15979366
560,560,560,731.09973,0.18507601
561,561,561,718.8473,0.18333685
562,562,562,750.4213,0.18781862
563,563,563,287.25513,0.12207466
564,564,564,1193.5277,0.25071517
565,565,565,337.37897,0.12918948
566,566,566,544.81964,0.15863456
567,567,567,1131.6904,0.24193771
568,568,568,661.3037,0.17516884
569,569,569,3.0853431,0.081738286
570,570,570,1285.4695,0.2637658
571,571,571,455.71045,0.14598599
572,572,572,2552.6252,0.44363177
573,573,573,363.52682,0.13290103
574,574,574,1574.2456,0.30475605
575,575,575,-25.115852,0.07773528
576,576,576,605.36786,0.16722906
577,577,577,726.4722,0.18441916
578,578,578,533.938,0.15708996
579,579,579,996.6423,0.22276837
580,580,580,972.15686,0.21929277
581,581,581,1880.3107,0.34820035
582,582,582,522.218,0.15542638
583,583,583,1045.3385,0.22968052
584,584,584,1081.5994,0.23482755
585,585,585,448.12488,0.14490926
586,586,586,3412.8042,0.56572956
587,587,587,627.24084,0.1703338
588,588,588,1851.4062,0.3440975
589,589,589,606.42615,0.16737927
590,590,590,675.7871,0.17722468
